start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693560713.859,1693560714.271,1693560714.781,1693560714.055,1693560714.818,1693560716.378
1693560714.679,1693560714.937,1693560715.279,1693560715.062,1693560715.824,1693560716.888
1693560713.947,1693560715.429,1693560717.287,1693560717.064,1693560717.827,1693560718.981
1693560717.865,1693560718.263,1693560718.711,1693560718.062,1693560718.824,1693560720.327
1693560718.702,1693560718.958,1693560719.276,1693560719.053,1693560719.812,1693560720.823
1693560717.364,1693560718.249,1693560719.418,1693560719.070,1693560719.836,1693560721.194
1693560720.880,1693560721.294,1693560721.747,1693560721.059,1693560721.819,1693560723.364
1693560721.718,1693560721.994,1693560722.287,1693560722.059,1693560722.820,1693560723.937
1693560717.730,1693560719.991,1693560722.687,1693560722.064,1693560722.826,1693560724.458
1693560720.970,1693560722.459,1693560724.078,1693560724.060,1693560724.821,1693560725.838
1693560723.895,1693560724.306,1693560724.783,1693560724.061,1693560724.822,1693560726.388
1693560723.336,1693560724.157,1693560725.084,1693560725.068,1693560725.830,1693560726.875
1693560724.725,1693560724.992,1693560725.305,1693560725.070,1693560725.834,1693560726.937
1693560727.895,1693560728.273,1693560728.708,1693560728.057,1693560728.818,1693560730.325
1693560728.765,1693560729.021,1693560729.329,1693560729.056,1693560729.818,1693560730.919
1693560728.042,1693560729.538,1693560731.140,1693560731.067,1693560731.833,1693560732.878
1693560730.928,1693560731.339,1693560731.791,1693560731.060,1693560731.821,1693560733.424
1693560730.398,1693560731.245,1693560732.270,1693560732.066,1693560732.831,1693560733.999
1693560731.782,1693560732.037,1693560732.392,1693560732.066,1693560732.829,1693560734.007
1693560727.782,1693560730.043,1693560732.507,1693560732.057,1693560732.818,1693560734.199
1693560734.939,1693560735.318,1693560735.764,1693560735.060,1693560735.821,1693560737.390
1693560735.847,1693560736.119,1693560736.435,1693560736.053,1693560736.814,1693560738.036
1693560735.064,1693560736.549,1693560738.161,1693560738.060,1693560738.821,1693560739.856
1693560737.952,1693560738.333,1693560738.803,1693560738.056,1693560738.818,1693560740.463
1693560738.831,1693560739.093,1693560739.400,1693560739.059,1693560739.821,1693560741.031
1693560740.423,1693560741.244,1693560742.168,1693560742.061,1693560742.822,1693560743.841
1693560741.968,1693560742.367,1693560742.899,1693560743.059,1693560743.821,1693560744.546
1693560742.838,1693560743.101,1693560743.406,1693560743.064,1693560743.826,1693560745.104
1693560738.833,1693560741.088,1693560743.542,1693560743.058,1693560743.820,1693560745.275
1693560742.117,1693560743.613,1693560745.206,1693560745.067,1693560745.829,1693560746.913
1693560746.012,1693560746.430,1693560746.874,1693560746.055,1693560746.815,1693560748.479
1693560745.503,1693560746.359,1693560747.310,1693560747.066,1693560747.828,1693560749.005
1693560746.858,1693560747.115,1693560747.408,1693560747.068,1693560747.831,1693560749.064
1693560749.038,1693560749.494,1693560749.932,1693560750.061,1693560750.822,1693560751.545
1693560749.894,1693560750.161,1693560750.486,1693560750.063,1693560750.823,1693560752.063
1693560749.132,1693560750.618,1693560752.221,1693560752.057,1693560752.819,1693560753.912
1693560752.060,1693560752.472,1693560752.918,1693560753.059,1693560753.822,1693560754.529
1693560752.890,1693560753.144,1693560753.429,1693560753.060,1693560753.823,1693560755.058
1693560754.560,1693560755.423,1693560756.408,1693560756.053,1693560756.816,1693560758.059
1693560752.936,1693560755.225,1693560757.660,1693560757.052,1693560757.814,1693560759.341
1693560757.108,1693560757.560,1693560758.013,1693560758.055,1693560758.816,1693560759.635
1693560757.925,1693560758.241,1693560758.528,1693560758.065,1693560758.831,1693560760.183
1693560756.187,1693560757.682,1693560759.288,1693560759.063,1693560759.826,1693560760.997
1693560759.557,1693560760.421,1693560761.421,1693560761.065,1693560761.827,1693560763.159
1693560761.085,1693560761.473,1693560761.916,1693560762.067,1693560762.833,1693560763.522
1693560762.954,1693560763.210,1693560763.516,1693560763.064,1693560763.826,1693560765.195
1693560764.129,1693560764.533,1693560764.983,1693560765.056,1693560765.817,1693560766.609
1693560763.206,1693560764.684,1693560766.286,1693560766.061,1693560766.822,1693560767.952
1693560765.963,1693560766.228,1693560766.560,1693560766.063,1693560766.826,1693560768.143
1693560761.977,1693560764.253,1693560766.680,1693560766.062,1693560766.825,1693560768.417
1693560765.583,1693560766.420,1693560767.356,1693560767.064,1693560767.830,1693560769.068
1693560767.087,1693560767.465,1693560767.909,1693560768.069,1693560768.833,1693560769.550
1693560770.144,1693560770.543,1693560770.999,1693560771.052,1693560771.813,1693560772.606
1693560770.995,1693560771.254,1693560771.561,1693560771.057,1693560771.817,1693560773.134
1693560770.232,1693560771.714,1693560773.315,1693560773.059,1693560773.819,1693560774.994
1693560774.019,1693560776.274,1693560778.682,1693560778.063,1693560778.827,1693560780.475
