start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693560046.103,1693560046.512,1693560046.993,1693560047.059,1693560047.821,1693560048.620
1693560046.935,1693560047.194,1693560047.481,1693560047.061,1693560047.823,1693560049.076
1693560046.203,1693560047.683,1693560049.572,1693560049.061,1693560049.822,1693560051.248
1693560049.093,1693560049.498,1693560049.939,1693560050.060,1693560050.822,1693560051.561
1693560049.964,1693560050.229,1693560050.531,1693560050.054,1693560050.815,1693560052.115
1693560051.599,1693560052.476,1693560053.620,1693560053.059,1693560053.822,1693560055.287
1693560053.141,1693560053.571,1693560053.990,1693560054.056,1693560054.817,1693560055.605
1693560053.980,1693560054.243,1693560054.537,1693560054.058,1693560054.824,1693560056.091
1693560049.981,1693560052.291,1693560054.953,1693560055.056,1693560055.818,1693560056.689
1693560053.230,1693560054.708,1693560056.304,1693560056.068,1693560056.833,1693560058.034
1693560056.179,1693560056.602,1693560057.024,1693560057.061,1693560057.823,1693560058.668
1693560057.004,1693560057.270,1693560057.574,1693560057.060,1693560057.821,1693560059.145
1693560060.166,1693560060.549,1693560060.970,1693560061.063,1693560061.826,1693560062.625
1693560061.008,1693560061.298,1693560061.578,1693560061.056,1693560061.817,1693560063.203
1693560060.293,1693560061.778,1693560063.447,1693560063.061,1693560063.824,1693560065.236
1693560063.189,1693560063.604,1693560064.027,1693560064.064,1693560064.827,1693560065.641
1693560064.022,1693560064.283,1693560064.566,1693560064.054,1693560064.815,1693560066.147
1693560062.684,1693560063.555,1693560064.516,1693560064.074,1693560064.836,1693560066.262
1693560060.076,1693560062.382,1693560064.784,1693560064.061,1693560064.824,1693560066.472
1693560067.227,1693560067.643,1693560068.070,1693560068.056,1693560068.817,1693560069.657
1693560068.058,1693560068.323,1693560068.597,1693560068.055,1693560068.816,1693560070.184
1693560067.326,1693560068.805,1693560070.395,1693560070.062,1693560070.824,1693560072.072
1693560070.225,1693560070.626,1693560071.049,1693560071.061,1693560071.825,1693560072.668
1693560071.104,1693560071.368,1693560071.667,1693560071.055,1693560071.816,1693560073.260
1693560072.750,1693560073.638,1693560074.587,1693560074.059,1693560074.823,1693560076.267
1693560074.262,1693560074.729,1693560075.160,1693560075.060,1693560075.821,1693560076.797
1693560075.085,1693560075.334,1693560075.639,1693560075.056,1693560075.821,1693560077.210
1693560071.142,1693560073.458,1693560075.905,1693560076.058,1693560076.821,1693560077.631
1693560074.364,1693560075.849,1693560077.442,1693560077.060,1693560077.821,1693560079.117
1693560078.269,1693560078.663,1693560079.078,1693560079.058,1693560079.819,1693560080.662
1693560077.717,1693560078.536,1693560079.476,1693560079.073,1693560079.834,1693560081.156
1693560079.149,1693560079.401,1693560079.673,1693560079.061,1693560079.825,1693560081.293
1693560081.304,1693560081.711,1693560082.167,1693560082.063,1693560082.828,1693560083.799
1693560082.137,1693560082.397,1693560082.696,1693560082.058,1693560082.819,1693560084.295
1693560081.381,1693560082.861,1693560084.451,1693560084.074,1693560084.839,1693560086.178
1693560084.284,1693560084.674,1693560085.108,1693560085.061,1693560085.824,1693560086.721
1693560085.140,1693560085.389,1693560085.669,1693560085.064,1693560085.827,1693560087.272
1693560086.858,1693560087.754,1693560088.676,1693560088.061,1693560088.824,1693560090.346
1693560085.226,1693560087.540,1693560090.026,1693560090.067,1693560090.829,1693560091.782
1693560089.352,1693560089.820,1693560090.252,1693560090.065,1693560090.827,1693560091.957
1693560090.183,1693560090.438,1693560090.715,1693560090.060,1693560090.822,1693560092.317
1693560088.452,1693560089.952,1693560091.563,1693560091.060,1693560091.821,1693560093.247
1693560091.853,1693560092.726,1693560093.655,1693560093.061,1693560093.824,1693560095.315
1693560093.364,1693560093.771,1693560094.194,1693560094.060,1693560094.823,1693560095.793
1693560095.214,1693560095.473,1693560095.760,1693560095.055,1693560095.818,1693560097.380
1693560096.376,1693560096.784,1693560097.219,1693560097.061,1693560097.824,1693560098.837
1693560095.469,1693560096.948,1693560098.536,1693560098.059,1693560098.822,1693560100.240
1693560098.226,1693560098.482,1693560098.757,1693560098.057,1693560098.820,1693560100.323
1693560094.222,1693560096.474,1693560098.908,1693560099.059,1693560099.820,1693560100.616
1693560097.849,1693560098.692,1693560099.653,1693560099.053,1693560099.813,1693560101.337
1693560099.385,1693560099.778,1693560100.225,1693560100.057,1693560100.819,1693560101.825
1693560102.421,1693560102.835,1693560103.261,1693560103.056,1693560103.817,1693560104.852
1693560103.254,1693560103.589,1693560103.871,1693560103.074,1693560103.838,1693560105.510
1693560102.508,1693560103.991,1693560105.582,1693560105.061,1693560105.825,1693560107.294
1693560106.333,1693560108.624,1693560111.082,1693560111.059,1693560111.822,1693560112.815
