start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693560581.397,1693560581.803,1693560582.270,1693560582.055,1693560582.816,1693560583.896
1693560582.214,1693560582.539,1693560582.991,1693560583.051,1693560583.812,1693560584.572
1693560581.480,1693560582.998,1693560584.808,1693560584.080,1693560584.850,1693560586.554
1693560584.404,1693560584.821,1693560585.256,1693560585.069,1693560585.833,1693560586.905
1693560585.241,1693560585.495,1693560585.826,1693560585.053,1693560585.814,1693560587.392
1693560586.873,1693560587.712,1693560588.870,1693560589.062,1693560589.826,1693560590.629
1693560588.412,1693560588.820,1693560589.253,1693560589.061,1693560589.823,1693560590.908
1693560589.273,1693560589.518,1693560589.814,1693560589.051,1693560589.811,1693560591.414
1693560585.299,1693560587.596,1693560590.337,1693560590.060,1693560590.825,1693560592.070
1693560588.526,1693560590.019,1693560591.626,1693560591.059,1693560591.819,1693560593.318
1693560591.424,1693560591.822,1693560592.253,1693560592.055,1693560592.815,1693560593.853
1693560592.290,1693560592.549,1693560592.832,1693560592.061,1693560592.823,1693560594.416
1693560595.508,1693560595.940,1693560596.373,1693560596.066,1693560596.828,1693560598.014
1693560596.304,1693560596.574,1693560596.903,1693560597.052,1693560597.811,1693560598.504
1693560595.564,1693560597.050,1693560598.641,1693560598.066,1693560598.835,1693560600.343
1693560597.937,1693560598.776,1693560599.739,1693560599.065,1693560599.830,1693560601.496
1693560595.315,1693560597.574,1693560600.002,1693560600.071,1693560600.834,1693560601.766
1693560599.466,1693560599.864,1693560600.281,1693560600.065,1693560600.831,1693560601.925
1693560600.298,1693560600.571,1693560600.854,1693560600.064,1693560600.825,1693560602.527
1693560602.506,1693560602.919,1693560603.382,1693560603.057,1693560603.818,1693560605.010
1693560603.429,1693560603.690,1693560604.011,1693560604.052,1693560604.812,1693560605.572
1693560602.625,1693560604.124,1693560605.756,1693560605.067,1693560605.830,1693560607.480
1693560605.527,1693560605.958,1693560606.398,1693560606.066,1693560606.829,1693560608.029
1693560606.359,1693560606.612,1693560606.924,1693560607.053,1693560607.814,1693560608.512
1693560608.016,1693560608.903,1693560609.854,1693560609.067,1693560609.832,1693560611.549
1693560609.553,1693560609.955,1693560610.405,1693560610.054,1693560610.815,1693560611.993
1693560610.371,1693560610.626,1693560610.939,1693560611.056,1693560611.819,1693560612.527
1693560606.407,1693560608.680,1693560611.111,1693560611.062,1693560611.824,1693560612.894
1693560609.626,1693560611.110,1693560612.724,1693560612.060,1693560612.823,1693560614.466
1693560612.548,1693560612.960,1693560613.403,1693560613.066,1693560613.830,1693560615.049
1693560613.390,1693560613.662,1693560613.990,1693560614.060,1693560614.820,1693560615.605
1693560616.575,1693560616.979,1693560617.426,1693560617.059,1693560617.821,1693560619.041
1693560617.431,1693560617.696,1693560618.024,1693560618.061,1693560618.826,1693560619.623
1693560616.668,1693560618.160,1693560619.816,1693560619.057,1693560619.819,1693560621.497
1693560619.578,1693560619.961,1693560620.424,1693560620.058,1693560620.820,1693560622.070
1693560620.431,1693560620.671,1693560620.986,1693560621.063,1693560621.825,1693560622.612
1693560619.060,1693560619.898,1693560620.833,1693560620.064,1693560620.827,1693560622.644
1693560616.423,1693560618.693,1693560621.112,1693560621.060,1693560621.823,1693560622.878
1693560624.700,1693560625.123,1693560625.560,1693560625.059,1693560625.821,1693560627.205
1693560625.471,1693560625.729,1693560626.024,1693560626.059,1693560626.822,1693560627.637
1693560623.735,1693560625.284,1693560626.899,1693560627.077,1693560627.842,1693560628.662
1693560628.660,1693560629.061,1693560629.516,1693560629.054,1693560629.815,1693560631.169
1693560628.151,1693560629.088,1693560630.033,1693560630.061,1693560630.822,1693560631.685
1693560630.494,1693560630.748,1693560631.072,1693560631.052,1693560631.812,1693560632.703
1693560631.653,1693560632.059,1693560632.491,1693560632.062,1693560632.825,1693560634.116
1693560628.513,1693560630.836,1693560633.266,1693560633.065,1693560633.829,1693560635.025
1693560630.750,1693560632.233,1693560633.825,1693560633.064,1693560633.827,1693560635.602
1693560633.480,1693560633.757,1693560634.055,1693560634.061,1693560634.823,1693560635.646
1693560633.154,1693560634.015,1693560634.979,1693560635.064,1693560635.826,1693560636.714
1693560634.670,1693560635.070,1693560635.531,1693560635.064,1693560635.827,1693560637.160
1693560637.708,1693560638.115,1693560638.537,1693560638.063,1693560638.825,1693560640.185
1693560638.527,1693560638.803,1693560639.111,1693560639.062,1693560639.823,1693560640.808
1693560637.793,1693560639.275,1693560640.882,1693560641.061,1693560641.823,1693560642.651
1693560640.200,1693560641.068,1693560642.065,1693560642.055,1693560642.816,1693560643.764
1693560637.543,1693560639.801,1693560642.245,1693560642.056,1693560642.817,1693560643.963
