start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693567421.217,1693567421.922,1693567421.982,1693567583.218,1693567585.020,1693567597.969
1693567424.691,1693567426.157,1693567426.292,1693567585.180,1693567587.293,1693567600.574
1693567422.055,1693567422.483,1693567422.527,1693567581.122,1693567585.928,1693567601.762
1693567425.086,1693567429.069,1693567429.439,1693567629.558,1693567631.563,1693567647.497
1693567421.322,1693567423.959,1693567424.206,1693567660.201,1693567663.210,1693567676.486
