start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693572988.015,1693572988.427,1693573002.479,1693573003.136,1693573003.137,1693573003.821
1693572988.937,1693572989.228,1693573002.740,1693573003.494,1693573003.495,1693573004.117
1693572991.508,1693572992.346,1693573006.358,1693573007.222,1693573007.223,1693573007.974
1693572988.111,1693572989.603,1693573006.745,1693573007.481,1693573007.482,1693573008.244
1693572991.920,1693572994.184,1693573009.067,1693573010.067,1693573010.068,1693573010.855
1693573005.128,1693573005.565,1693573019.408,1693573020.138,1693573020.139,1693573020.793
1693573005.968,1693573006.258,1693573019.889,1693573020.630,1693573020.632,1693573021.341
1693573010.678,1693573011.545,1693573026.134,1693573026.899,1693573026.901,1693573027.892
1693573010.290,1693573011.813,1693573030.287,1693573031.335,1693573031.336,1693573032.126
1693573014.092,1693573016.469,1693573031.811,1693573032.802,1693573032.803,1693573033.566
1693573022.170,1693573022.567,1693573036.612,1693573037.414,1693573037.416,1693573038.141
1693573023.024,1693573023.281,1693573037.851,1693573038.634,1693573038.635,1693573039.249
1693573030.179,1693573031.180,1693573045.518,1693573046.260,1693573046.261,1693573046.963
1693573036.111,1693573038.385,1693573053.410,1693573054.074,1693573054.075,1693573054.854
1693573034.356,1693573035.850,1693573053.344,1693573054.190,1693573054.192,1693573054.968
1693573040.126,1693573040.379,1693573053.652,1693573054.468,1693573054.469,1693573055.140
1693573039.257,1693573039.710,1693573053.934,1693573054.746,1693573054.747,1693573055.431
