start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693571875.635,1693571876.056,1693571890.146,1693571890.969,1693571890.970,1693571891.658
1693571876.445,1693571876.743,1693571890.922,1693571891.983,1693571891.984,1693571892.636
1693571879.136,1693571880.047,1693571893.982,1693571894.828,1693571894.830,1693571895.658
1693571875.777,1693571877.300,1693571895.607,1693571896.364,1693571896.366,1693571897.179
1693571879.538,1693571881.863,1693571897.301,1693571898.095,1693571898.096,1693571899.129
1693571892.697,1693571893.110,1693571907.046,1693571907.870,1693571907.871,1693571908.537
1693571893.536,1693571893.796,1693571907.495,1693571908.262,1693571908.263,1693571908.900
1693571897.343,1693571898.378,1693571912.111,1693571912.955,1693571912.957,1693571913.798
1693571898.936,1693571900.470,1693571917.472,1693571918.357,1693571918.358,1693571919.317
1693571901.679,1693571904.257,1693571920.095,1693571920.956,1693571920.957,1693571921.704
1693571910.619,1693571910.886,1693571924.038,1693571924.838,1693571924.839,1693571925.443
1693571909.865,1693571910.289,1693571924.275,1693571925.076,1693571925.078,1693571925.718
1693571915.292,1693571916.172,1693571930.382,1693571931.175,1693571931.177,1693571931.949
1693571920.965,1693571922.550,1693571939.575,1693571940.417,1693571940.418,1693571941.266
1693571926.877,1693571927.284,1693571940.943,1693571941.759,1693571941.760,1693571942.425
1693571927.813,1693571928.128,1693571941.396,1693571942.189,1693571942.190,1693571942.834
1693571924.790,1693571927.096,1693571942.654,1693571943.479,1693571943.481,1693571944.242
1693571933.390,1693571934.274,1693571948.485,1693571949.212,1693571949.213,1693571949.986
