start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693572918.177,1693572918.738,1693572932.711,1693572933.417,1693572933.418,1693572934.038
1693572919.079,1693572919.460,1693572933.334,1693572933.996,1693572933.997,1693572934.640
1693572918.269,1693572919.849,1693572937.115,1693572937.920,1693572937.921,1693572938.694
1693572921.692,1693572922.594,1693572937.089,1693572937.915,1693572937.916,1693572938.840
1693572922.016,1693572924.292,1693572939.631,1693572940.492,1693572940.493,1693572941.539
1693572935.150,1693572935.577,1693572949.273,1693572950.145,1693572950.146,1693572950.820
1693572936.038,1693572936.361,1693572950.440,1693572951.196,1693572951.197,1693572951.873
1693572941.684,1693572942.561,1693572956.626,1693572957.439,1693572957.440,1693572958.280
1693572941.342,1693572942.847,1693572960.009,1693572960.882,1693572960.884,1693572961.668
1693572944.109,1693572946.385,1693572961.394,1693572962.474,1693572962.475,1693572963.265
1693572952.229,1693572952.642,1693572966.364,1693572967.147,1693572967.149,1693572967.825
1693572953.070,1693572953.327,1693572967.739,1693572968.499,1693572968.500,1693572969.217
1693572959.983,1693572960.890,1693572974.822,1693572975.608,1693572975.609,1693572976.367
1693572963.385,1693572964.914,1693572981.940,1693572982.743,1693572982.744,1693572983.606
1693572970.152,1693572970.484,1693572983.522,1693572984.298,1693572984.299,1693572984.916
1693572969.333,1693572969.746,1693572984.044,1693572984.732,1693572984.733,1693572985.381
1693572966.223,1693572968.641,1693572983.702,1693572984.454,1693572984.455,1693572985.434
