start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693571718.752,1693571719.162,1693571733.305,1693571734.014,1693571734.015,1693571734.655
1693571719.580,1693571719.850,1693571733.918,1693571734.599,1693571734.600,1693571735.236
1693571718.842,1693571720.358,1693571737.812,1693571738.933,1693571738.934,1693571739.844
1693571722.390,1693571723.343,1693571738.318,1693571739.204,1693571739.206,1693571739.946
1693571722.739,1693571725.101,1693571740.257,1693571741.210,1693571741.211,1693571742.014
1693571735.847,1693571736.295,1693571750.275,1693571751.092,1693571751.093,1693571751.754
1693571736.700,1693571736.981,1693571751.397,1693571752.182,1693571752.183,1693571752.822
1693571742.406,1693571743.326,1693571757.360,1693571758.135,1693571758.136,1693571758.930
1693571741.990,1693571743.515,1693571760.766,1693571761.892,1693571761.901,1693571762.994
1693571744.805,1693571747.218,1693571762.841,1693571763.596,1693571763.597,1693571764.378
1693571753.762,1693571754.039,1693571767.688,1693571768.500,1693571768.501,1693571769.168
1693571752.892,1693571753.349,1693571767.716,1693571768.566,1693571768.568,1693571769.298
1693571760.426,1693571761.289,1693571774.713,1693571775.525,1693571775.527,1693571776.265
1693571766.877,1693571769.157,1693571784.525,1693571785.374,1693571785.375,1693571786.151
1693571770.840,1693571771.116,1693571784.774,1693571785.558,1693571785.559,1693571786.221
1693571770.006,1693571770.434,1693571784.821,1693571785.714,1693571785.715,1693571786.402
1693571765.115,1693571766.676,1693571784.681,1693571785.778,1693571785.782,1693571786.726
1693571777.566,1693571778.429,1693571792.267,1693571793.134,1693571793.135,1693571793.824
