start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693573433.287,1693573433.882,1693573447.403,1693573448.191,1693573448.192,1693573448.881
1693573434.133,1693573434.678,1693573448.374,1693573449.159,1693573449.160,1693573449.890
1693573436.728,1693573437.966,1693573451.986,1693573452.736,1693573452.737,1693573453.526
1693573433.375,1693573435.110,1693573452.968,1693573453.755,1693573453.757,1693573454.509
1693573437.292,1693573439.884,1693573455.155,1693573455.927,1693573455.928,1693573456.946
1693573450.293,1693573450.722,1693573464.437,1693573465.271,1693573465.272,1693573465.919
1693573450.996,1693573451.319,1693573464.543,1693573465.350,1693573465.351,1693573465.971
1693573454.688,1693573455.571,1693573469.451,1693573470.355,1693573470.356,1693573471.116
1693573456.294,1693573457.807,1693573474.790,1693573475.638,1693573475.639,1693573476.373
1693573460.104,1693573462.443,1693573477.849,1693573478.856,1693573478.857,1693573479.615
1693573467.252,1693573467.740,1693573481.060,1693573482.011,1693573482.012,1693573482.685
1693573468.076,1693573468.443,1693573481.757,1693573482.449,1693573482.450,1693573483.106
1693573472.728,1693573473.598,1693573487.473,1693573488.364,1693573488.365,1693573489.204
1693573478.394,1693573479.946,1693573497.044,1693573497.903,1693573497.904,1693573498.685
1693573483.323,1693573483.698,1693573497.271,1693573498.192,1693573498.194,1693573498.884
1693573484.174,1693573484.434,1693573498.032,1693573498.848,1693573498.849,1693573499.561
1693573482.213,1693573484.481,1693573499.852,1693573500.674,1693573500.676,1693573501.597
1693573490.898,1693573491.782,1693573505.803,1693573506.737,1693573506.738,1693573507.577
