start_time,send_time,start_booting, start_scamper, end_scamper,end_time
1693573728.835,1693573729.095,1693573742.626,1693573743.315,1693573743.316,1693573743.969
1693573728.034,1693573728.457,1693573742.683,1693573743.382,1693573743.383,1693573744.053
1693573731.567,1693573732.461,1693573747.390,1693573748.159,1693573748.161,1693573749.052
1693573728.134,1693573729.666,1693573747.807,1693573748.549,1693573748.551,1693573749.384
1693573731.910,1693573734.185,1693573749.538,1693573750.612,1693573750.613,1693573751.623
1693573745.060,1693573745.478,1693573758.944,1693573759.843,1693573759.844,1693573760.493
1693573745.992,1693573746.512,1693573760.117,1693573760.812,1693573760.813,1693573761.465
1693573751.658,1693573752.552,1693573767.102,1693573767.910,1693573767.912,1693573768.689
1693573751.263,1693573752.787,1693573770.216,1693573771.127,1693573771.129,1693573771.877
1693573755.038,1693573757.307,1693573772.297,1693573773.034,1693573773.035,1693573773.848
1693573761.166,1693573761.628,1693573775.271,1693573776.133,1693573776.135,1693573776.870
1693573762.050,1693573762.436,1693573775.939,1693573776.778,1693573776.779,1693573777.423
1693573771.714,1693573772.655,1693573787.128,1693573787.910,1693573787.912,1693573788.700
1693573778.255,1693573778.670,1693573792.117,1693573792.899,1693573792.901,1693573793.558
1693573779.118,1693573779.377,1693573793.054,1693573793.729,1693573793.730,1693573794.354
1693573774.368,1693573775.852,1693573793.021,1693573793.870,1693573793.871,1693573794.666
1693573777.175,1693573779.550,1693573794.713,1693573795.454,1693573795.455,1693573796.185
